id,available_icu_beds_with_ventilator,total_beds_allocated_to_covid,pincode,total_beds_without_oxygen,occupied_beds_without_oxygen,hospital_phone,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,occupied_beds_with_oxygen,hospital_address,district,total_beds_with_oxygen,available_beds_with_oxygen,area,occupied_icu_beds_with_ventilator,available_beds_without_oxygen,total_icu_beds_without_ventilator,occupied_icu_beds_without_ventilator
0,0,240,382424,172,51,,SMS HOSPITAL,0,10,30,"Near Tapovan Circle, Visat - Gandhinagar Hwy, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424, India",Ahmedabad,30,0,Chandkheda,10,121,28,28
1,0,154,380025,38,38,,"Gujarat Cancer Society Medical College Hospital, Naroda",0,5,108,"Opp. D.R.M. Office, Naroda Rd, nr. Chamunda Bridge, Saraspur, Ahmedabad, Gujarat 380025, India",Ahmedabad,108,0,India Colony,5,0,3,3
2,0,53,380006,39,39,,"HCG Hospital, Mithakali",0,5,0,"Mithakhali Six Rd, kalyan Society, Maharashtra Society, Ellisbridge, Ahmedabad, Gujarat 380006, India",Ahmedabad,0,0,Navrangpura,5,0,9,9
3,0,17,380013,8,8,,Guru Prem,0,1,2,"D2, First Floor, Sahjanand Complex, Nr. Jaymangal BRTS Stop, 132 Feet Ring Rd, AEC Char Rasta, Naranpura, Ahmedabad, Gujarat 380013, India",Ahmedabad,2,0,NARANPURA,1,0,6,6
4,0,32,380061,4,4,,Care Plus,0,2,23,"6, Yash sagar Society, Near Satyanarayan Temple, Hari Nagar, Ghatlodiya, Ahmedabad, Gujarat 380061, India",Ahmedabad,23,0,Nava Wadaj,2,0,3,3
5,0,69,380006,30,30,,Turning Point Hriday Se,0,8,17,"501, BLOCK 554 NR. AGARWAL CHAMBERS, opp. TOWNHALL, Madalpur Gam, Ellisbridge, Ahmedabad, Gujarat 380006, India",Ahmedabad,17,0,paldi,8,0,14,14
6,0,21,382424,1,1,,Rajdeep children hospital,0,1,14,"1st/2nd laxmi complex, opp old ONGC, Besides acher depot, adani cng pump sabarmati BRTS road, sabarmti, Sheetalkunj Society, Sabarmati, Ahmedabad, Gujarat 382424, India",Ahmedabad,14,0,Chandkheda,1,0,5,5
7,0,12,380013,6,6,,Mansarovar hospital,0,0,6,"Kheteswar Bhawan, Kirti Colony, Usmanpura Under Bridge, Near Vitthal Bhawan, 76/B/2, Ravjikaka Rd, Panchshil Society, Shanti Nagar, Usmanpura, Ahmedabad, Gujarat 380013, India",Ahmedabad,6,0,USMANPURA,0,0,0,0
8,0,40,382424,17,15,,Ansh multi. Spe. hospital,0,5,16,"1811, subhashnagar, 276, IOC Rd, Shradhapark Society, Laxmi Nagar, Gujarat Housing Board, Chandkheda, Ahmedabad, Gujarat 382424, India",Ahmedabad,16,0,Chankheda,5,2,2,2
9,0,20,380013,4,4,,Atharva hospital,0,2,8,"Bhimjipura Road, SKD Sunbeam, Vijay Cross Rd, Mevavala Nagar, Nava Vadaj, Ahmedabad, Gujarat 380013, India",Ahmedabad,8,0,NAVA VADAJ,2,0,6,6
10,0,39,382424,8,8,,Satyamev,0,2,19,"Satyamev Arcade, Bus Stop, State Highway, near Chandkheda, Chandkheda, Ahmedabad, Gujarat 382424, India",Ahmedabad,19,0,Chandkheda,2,0,10,10
11,0,66,380007,0,0,,Parth hospital,0,3,46,"Opposite anjali brts, Chandranagar Six Rd, Damubhai colony, Bansidhar Society, anjali, Ahmedabad, Gujarat 380007, India",Ahmedabad,56,10,VASNA,3,0,7,7
12,0,31,382424,4,4,,SENTARA HOSPITAL,0,3,19,"45, Karnavati Society, Bus Stand, near ShivShakti BRTS, Shradhapark Society, Gujarat Housing Board, Chandkheda, Ahmedabad, Gujarat 382424, India",Ahmedabad,19,0,Chandkheda,3,0,5,5
13,0,27,380009,10,10,,"Shalby, Navrangpura",0,0,0,"Mithakhali, Navrangpura, Ahmedabad, Gujarat 380009, India",Ahmedabad,0,0,Navrangpura,0,0,17,17
14,0,24,380013,16,16,,Mansi hospital,0,0,8,"Akhbar Nagar Cir, Krushikunj Society, Nava Vadaj, Ahmedabad, Gujarat 380013, India",Ahmedabad,8,0,Nava Vadaj,0,0,0,0
15,0,22,382424,2,2,,LOTUS,0,2,13,"2nd Floor, # 382424, 33, Gujarat State Highway 41, Chandkheda, Ahmedabad, Gujarat 382424, India",Ahmedabad,13,0,Motera,2,0,5,5
16,0,40,380013,26,26,,"Trisha multi speciality, Nirnay nagar",0,0,14,"6-7 th floor, Dream Square Complex, Akhbar Nagar, Nirnay Nagar, Ahmedabad, Gujarat 380013, India",Ahmedabad,14,0,Nava Wadaj,0,0,0,0
17,0,30,382424,5,5,,TLGH,0,3,15,"18/H ,karnavatisociety,Nr.maruti furniture, opp. sharda petrol pump, Shradhapark Society, Laxmi Nagar, Gujarat Housing Board, Chandkheda, Ahmedabad, Gujarat 382424, India",Ahmedabad,15,0,Chandkheda,3,0,7,7
18,0,32,380009,6,4,079 2657 5151,"Saviour Annexe Hospital, Ashram road",0,2,20,"Ashram Road, Shreyas Colony, Navrangpura, near Kandoi Bhogilal Mulchand, Shreyas Colony, Navrangpura, Ahmedabad, Gujarat 380009, India",Ahmedabad,20,0,Navrangpura,2,2,4,4
19,0,71,380009,8,8,,"Sushrusha, Navrangpura",0,7,47,"CG Road Opposite Navrangpura Tel Exchange, Sardar Patel Samaj, Mithakhali, Navrangpura, Ahmedabad, Gujarat 380009, India",Ahmedabad,47,0,Navrangpura,7,0,9,9
20,0,80,380007,3,3,,Bodyline Hospital,0,2,65,"Opp Annapurna Hall, Besides, Dev Status, New Vikas Gruh Rd, Prabhat Society, Paldi, Ahmedabad, Gujarat 380007, India",Ahmedabad,65,0,paldi,2,0,10,10
21,0,13,382424,2,2,,Navjivan,0,3,2,"GF-14, Trishala Apartments, New CG Rd, opposite Sakar English School, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424, India",Ahmedabad,2,0,Chandkheda,3,0,6,6
22,0,100,382424,70,18,,SMS HOSPITAL,0,10,0,"Near Tapovan Circle, Visat - Gandhinagar Hwy, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424, India",Ahmedabad,0,0,Chandkheda,10,52,20,20
23,0,104,380015,61,61,,"Aartham Hospital, Ambawadi,",0,6,27,"Opp. Government Polytechnic College, near Panjrapole Cross Road, L Colony, Ambawadi, Ahmedabad, Gujarat 380015, India",Ahmedabad,27,0,Navarangpura,6,0,10,10
24,0,25,380014,4,4,,Shailya,0,1,14,"Sardar Patel Stadium Rd, Mahadevnagar Society, Navrangpura, Ahmedabad, Gujarat 380014, India",Ahmedabad,14,0,stadium,1,0,6,6
25,0,26,380013,10,10,,"Solar Hospital, Naranpura,",0,3,6,"Binali Complex B-block, Opposite Torrent Power Office, Near AEC Cross Road, Naranpura, Naranpura, Ahmedabad, Gujarat 380013, India",Ahmedabad,6,0,Naranpura,3,0,7,7
26,0,16,380013,2,2,,Arham ICU & Troma,0,3,5,"412, Dream Square, Opp. Ramdevpir Temple, Nr. Nirnay Nagar Underbridge, Akhbar Nagar, Nava Vadaj, Ahmedabad, Gujarat 380013, India",Ahmedabad,5,0,NAVA VADAJ,3,0,6,6
27,0,40,380009,25,25,,Kidney Health,0,4,3,"50, near Lakhudi Cross Road, beside Bank of India, Nathalal Colony, Naranpura, Ahmedabad, Gujarat 380009, India",Ahmedabad,3,0,NARANPURA,4,0,8,8
28,0,60,380009,0,0,,"Nidhi Hospital, Navrangpura",0,4,51,"Shree Kunj Building Stadium Commerce College Road, Commerce Six Rd, Nr Azad Sweets, Hindu Colony, Navrangpura, Ahmedabad, Gujarat 380009, India",Ahmedabad,51,0,Navrangpura,4,0,5,5
29,0,39,380009,33,33,,PUSHYA HOSPITAL,0,1,3,"32, Sardar Patel Nagar, Opp. ABC-1, near Wagh Bakri Tea Lounge, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009, India",Ahmedabad,3,0,Navrangpura,1,0,2,2
30,0,22,382424,5,4,,UNITY HOSPITAL,0,4,10,"51, Shripal Nagar Soceity, New C.G. Road Corner, Opp. Pebble Bay, Near BRTS Stand, Janta Nagar, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424, India",Ahmedabad,10,0,Chandkheda,4,1,3,3
31,0,14,380009,3,3,,Samved orthopedic,0,0,11,"3rd Floor, Samved Hospital, Near Sopan Flats, Stadium, to, Commerce Six Roads, Girivar Society, Navrangpura, Ahmedabad, Gujarat 380009, India",Ahmedabad,11,0,Navarangpura,0,0,0,0
32,0,28,380063,16,8,,PHOENIX EME. & CRI. CARE,0,3,3,"78, Naranpura, Ahmedabad, Gujarat 380063, India",Ahmedabad,3,0,NARANPURA,3,8,6,6
33,0,17,380013,8,8,,Krishna hospital,0,1,6,"Suryarani Complex, Akhabarnagar Cross Road, 132 Feet Ring Rd, Nava Vadaj, Ahmedabad, Gujarat 380013, India",Ahmedabad,6,0,Nava Vadaj,1,0,2,2
34,0,54,,20,20,,Dr. Jivraj Mehta Vasna,0,2,26,"Dr Jivraj Mehta Marg, Vasna, Ahmedabad, Gujarat, India",Ahmedabad,26,0,Vasna,2,0,6,6
35,0,22,380005,0,0,,Panchshil,0,2,9,"Acher, Ahmedabad, Gujarat 380005, India",Ahmedabad,9,0,Sabarmati,2,0,11,11
36,0,40,380009,0,0,,HEALTHY MIND,0,0,34,"5/A, Commerce Six Rd, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India",Ahmedabad,34,0,NAVARANGPURA,0,0,6,6
37,0,9,380013,7,7,,Dev hospital,0,0,2,"A/207-8-9, Swaminarayan Avenue 132' Ring Road A.E.C. Cross, Road, AEC Char Rasta, Naranpura, Ahmedabad, Gujarat 380013, India",Ahmedabad,2,0,NARANPURA,0,0,0,0
38,0,8,380063,5,4,,Shruti met. & surgi. Hospital,0,1,1,"D-2/D-3, Medical Complex, Chandni Apartment, Sola Road, BRTS, near Parasnagar, Paras Nagar, Naranpura, Ahmedabad, Gujarat 380063, India",Ahmedabad,1,0,NARANPURA,1,1,1,1
39,0,20,380013,6,6,,Gayatri heart & med. Hospital,0,2,6,"G-6/7, Chakrawaty Complex, Bhimjipura Road, Bhimjipura, Nava Vadaj, near Vijay Co Op Bank Ltd, Bhimjipura, Nava Vadaj, Ahmedabad, Gujarat 380013, India",Ahmedabad,6,0,Nava Vadaj,2,0,6,6
40,0,17,380013,9,9,,PULSE ICCU,0,2,2,"Ananddham Society, Bhimjipura Rd, Mevavala Nagar, Sardar Colony, Ahmedabad, Gujarat 380013, India",Ahmedabad,2,0,Nava Vadaj,2,0,4,4
41,0,30,380005,20,20,,PUKHRAJ,0,0,10,"Bulakhidas Rd, Ramnagar, Abu Street Society, Sabarmati, Ahmedabad, Gujarat 380005, India",Ahmedabad,10,0,SABARMATI,0,0,0,0
42,0,20,380013,1,1,,Asian sup. Spe. Hospital,0,2,10,"Binali Complex B-block, Opposite Torrent Power Office, Near AEC Cross Road, Naranpura, Naranpura, Ahmedabad, Gujarat 380013, India",Ahmedabad,10,0,NARANPURA,2,0,7,7
43,0,19,380013,4,4,,Spandan Eme. & Critical Care,0,3,6,"4th floor , mansarovar avenue , above syndicate bank , opp tulsishyam flate, Mahesana Society, Nava Vadaj, Ahmedabad, Gujarat 380013, India",Ahmedabad,6,0,Nava Vadaj,3,0,6,6
44,0,30,380005,9,9,,shreeji Hospital,0,3,7,"Nr. Visat petrol pump, ONGC Avani bhavan, Sunrise Nagar, Ram Nagar, Sabarmati, Ahmedabad, Gujarat 380005, India",Ahmedabad,7,0,SABARMATI,3,0,11,11
45,0,56,380015,0,0,,"Medilink Hospital, sabarmati",0,0,46,"132 ft Ring Road, Opp. Someshwara Jain Temple, Satellite, Swinagar Society, Nehru Nagar, Ambawadi, Ahmedabad, Gujarat 380015, India",Ahmedabad,46,0,SABARMATI,0,0,10,10
46,0,35,380014,2,2,,saviour (lakhudi tadav),0,3,19,"Sardar Patel Stadium Rd, Near Bharat Petrol Pump, Chaitanya Nagar, Navrangpura, Ahmedabad, Gujarat 380014, India",Ahmedabad,19,0,NAVARANGPURA,3,0,11,11
47,0,17,380013,4,4,,AVION KIDNEY,0,1,6,"604,605 copper leaf, Sola Rd, opposite Solaris Complex, Chitrakut Society, Bhuyang Dev, Memnagar, Ahmedabad, Gujarat 380013, India",Ahmedabad,6,0,NARANPURA,1,0,6,6
48,0,19,,8,7,,Athen Hospital,0,0,8,,Ahmedabad,8,0,SABARMATI,0,1,3,3
49,0,20,380009,0,0,,Noble Gastro Hospital,0,2,17,"Shaival Imperia 5th & 6th Floor, Mithakhali Six Rd, opp. Nalanda Hotel, Mithakhali, Ellisbridge, Ahmedabad, Gujarat 380009, India",Ahmedabad,17,0,Navrangpura,2,0,1,1
