id,available_icu_beds_with_ventilator,pincode,total_beds_allocated_to_covid,total_beds_without_oxygen,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,hospital_address,state,district,total_beds_with_oxygen,facility_id,available_beds_with_oxygen,last_updated_on,hospital_category,area,fee_regulated_beds,hospital_poc_phone,available_beds_without_oxygen,hospital_poc_name,hospital_poc_designation,total_icu_beds_without_ventilator,charges,hospital_poc_email
0,0,431127,,0,Aadhar Hospital Georai,12,12,Georai,Maharashtra,Beed,8,38727,27,1619933712397,Dedicated COVID Health Center / DCHC,Georai,20.0,9970152115,12,Dr.Mote,Nodal Officer,12,Private,rohit.mote@gmail.com
1,0,431515,,0,"Ananya Hospital, Parali",0,2,Parali,Maharashtra,Beed,20,38026,1,1619944698359,Dedicated COVID Hospitals / DCH,Parali,20.0,9004040565,2,Dr.Tejasvini Munde,Nodal Officer,1,Private,tejo_munde@yahoo.com
2,0,431122,,5,Ashish Hospital Beed,0,4,Beed,Maharashtra,Beed,6,39213,0,1619946998248,Dedicated COVID Health Center / DCHC,Beed,15.0,9822252480,1,Dr.Sanjivani Kotecha,Nodal Officer,4,Private,sanjivini.kotecha@gmail.com
3,0,431517,,16,City Multispeciality Hospital Ambajogai,3,6,Ambajogai,Maharashtra,Beed,14,38876,3,1619927659126,Dedicated COVID Health Center / DCHC,Ambajogai,30.0,9822781663,12,Dr.Suhas Yadav,Nodal Officer,6,Private,drsuhasyadavdhsy@gmail.com
4,0,431122,,0,Deep Hospital & Critical Care Beed,0,25,Beed,Maharashtra,Beed,36,38813,0,1619928060667,Dedicated COVID Hospitals / DCH,Beed,46.0,9011078965,0,Dr.Vikas Deshpande,Nodal Officer,21,Private,deepcco@gmail.com
5,0,431131,,0,"Deshpande Hospital, Majalgaon",0,20,Majalgaon,Maharashtra,Beed,30,37397,0,1619946814553,Dedicated COVID Hospitals / DCH,Majalgaon,50.0,9823880988,0,Dr.Deshpande Shreyash,Nodal Officer,17,Private,drshreyas003@gmail.com
6,0,431122,,0,DH Beed,0,50,Beed,Maharashtra,Beed,400,11211,9,1619938498813,Dedicated COVID Hospitals / DCH,Beed,400.0,9422628391,8,Dr.Sukhdev Rathod,Nodal Officer,0,Government,cs_beed@rediffmail.com
7,0,431517,,0,Dhakde Hospital Ambajogai,0,0,Ambajogai,Maharashtra,Beed,3,38347,0,1619944705978,Dedicated COVID Health Center / DCHC,Ambajogai,3.0,9422496883,0,Dr.Dhakade,Nodal Officer,2,Private,rahuldhakade@gmail.com
8,0,431122,,0,Dhoot Hospital Beed,0,6,Beed,Maharashtra,Beed,32,38318,0,1619930949779,Dedicated COVID Hospitals / DCH,Beed,32.0,7774033093,0,Dr.Santosh Dhoot,Nodal Officer,4,Private,balajishendge124@gmail.com
9,0,414203,,11,Dhruv Hospital Ashti,0,14,Ashti,Maharashtra,Beed,14,37403,0,1619934262826,Dedicated COVID Health Center / DCHC,Ashti,55.0,9032368276,16,Dr.Sudam Jare,Nodal Officer,12,Private,dhruvacovidhospital@gmail.com
