id,area,available_icu_beds_with_ventilator,pincode,district,hospital_poc_phone,total_beds_without_oxygen,available_beds_without_oxygen,hospital_poc_name,total_icu_beds_without_ventilator,total_beds_with_oxygen,hospital_phone,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,available_beds_with_oxygen,hospital_address,last_updated_on,hospital_category
0,Agar Malwa,-1,452006,Agar Malwa,9644190018,186,135,DR.KABEER BAGGA,0,0,"7223007898, 9644190018",Pichda warg Boys Post matric Hostel Malikhedi road Agar Malwa,0,-1,0,"Ujjain - Indore Rd, Mahal Kacheri, Indore, Madhya Pradesh 452006, India",1619941776000,Government
1,Agar Malwa,-1,465441,Agar Malwa,9425985071,0,0,DR. J C PARMAR,10,140,"9425429051, 7879466266",DH Agar Malwa - DCHC,0,-1,0,"Agar, Madhya Pradesh 465441, India",1619923686000,Government
2,Alirajpur,-1,457887,Alirajpur,9926838121,17,0,Dr. Santosh Solanki,10,58,"7898659339, 6266578398",DH Alirajpur - DCHC,10,-1,2,"Alirajpur-Dahod Rd, Alirajpur, Madhya Pradesh 457887, India",1619928881000,Government
3,Alirajpur,-1,461111,Alirajpur,8305937601,160,155,Dr Rahul Dawar,0,0,07395 272 869,Eklavya Hostel Umrali,0,-1,0,"Village & Sondwa, Teh, &, Distt, Umrali, Madhya Pradesh 461111, India",1619928921000,Government
4,Alirajpur,-1,457882,Alirajpur,7898545837,250,222,Dr Manoj Kumar,0,0,079998 23165,Eklavya Hostel Sejawada,0,-1,0,"Chandrashekhar Azad Nagar, Sejawada, Madhya Pradesh 457882, India",1619928902000,Government
5,Alirajpur,-1,457887,Alirajpur,7805057576,160,72,Dr. Jaydeep Jamindar,0,0,"7566646088, 7566027179","BOYS Hostel, Alirajpur",0,-1,0,"Alirajpur-Dahod Rd, Ramsingh Ki Choki, Madhya Pradesh 457887, India",1619928823000,Government
6,Alirajpur,-1,,Alirajpur,7247694474,100,40,DR Mayuri Rathod,0,0,", ",CCC JOBAT,0,-1,0,,1619928848000,Government
7,Anuppur,-1,484881,Anuppur,9425344671,0,0,DR  T R CHAURASIYA,0,10,"7974543286, 7067446110",CHC RAJENDRAGRAM,0,-1,8,"Karpa, Madhya Pradesh 484881, India",1619923511000,Government
8,Anuppur,-1,484224,Anuppur,9893780271,0,0,DR MANOJ GUPTA,0,10,"7566741373, 9617322439",CHC KOTMA,0,-1,0,"Anuppur, Madhya Pradesh 484224, India",1619923425000,Government
9,Anuppur,-1,484224,Anuppur,9425473164,40,18,Dr. S R P DWIVEDI,10,30,"8889051720, 9993959154",DH Anuppur - DCHC,0,-1,0,"Anuppur, Madhya Pradesh 484224, India",1619923710000,Government
10,Anuppur,-1,484224,Anuppur,7898584653,50,12,DR  M S SHYAM,0,50,"9425184337, 9300640465",GOVT KANYA SIKSHA PARISHAR ANUPPUR,0,-1,28,"Kusmahai, Madhya Pradesh 484224, India",1619924032000,Government
11,Anuppur,-1,484334,Anuppur,9893974942,0,0,DR B P SHUKLA,0,10,"9713283654, 8109793352",CHC JAITHARI,0,-1,0,"Kotma, Madhya Pradesh 484334, India",1619923137000,Government
12,Jabalpur,-1,482002,Jabalpur,9713288548,54,54,Mr. Ajay Singh,0,0,1800 890 6909,ANANT HOSPITAL,0,-1,0,"Madan Mahal Railway Station Rd, Wright Town, Jabalpur, Madhya Pradesh 482002, India",1619933418000,Private
