id,total_beds_allocated_to_covid,available_icu_beds_with_ventilator,pincode,total_beds_without_oxygen,officer_name,hospital_phone,officer_designation,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,hospital_address,district,total_beds_with_oxygen,available_beds_with_oxygen,last_updated_on,hospital_category,area,fee_regulated_beds,available_beds_without_oxygen,total_icu_beds_without_ventilator,charges
0,334,0,,0,No Data Available,020-29525922 /,No Data Available,Aundh - baner DCH,0,30,"Near post 91 hotel, adjacent SBI bank, baner rd",Pune,280,0,1619889040000,DCH,PMC,0,0,24,Government Free
1,700,0,411005,0,No Data Available,020-25502110,No Data Available,COEP Jumbo Hospital,0,55,"Shivaji Nagar, Pune",Pune,535,0,1619943546000,DCH,PMC,0,0,110,Government Free
2,175,0,,0,No Data Available,na,No Data Available,Dalvi Hospital ( Shivajinagar ),0,10,"Babulal Sheikth Path, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005",Pune,165,0,1619872227000,DCH,PMC,0,0,0,Government Free
3,50,0,,0,NA,020-24212818,No Data Available,ESIC Hospital ( Bibwewadi ),0,5,Next to Pushpamangal Karyalya Bibwewadi,Pune,40,0,1619857549000,DCH,PMC,0,0,5,Government Free
4,55,0,,37,No Data Available,8806668747,No Data Available,Late Draupadabai Muralidhar Khedekar Hospital ( Bopodi),0,0,"Bopodi, Pune",Pune,18,0,1619932861000,DCH,PMC,0,4,0,Government Free
5,30,0,,0,No Data Available,020-24394410,No Data Available,Late Muralidhar Pandurang Laygude Hospital ( Dhayari),0,0,Dhayari,Pune,30,0,1619865223000,DCH,PMC,0,0,0,Government Free
6,125,0,,0,No Data Available,9689931118,No Data Available,Naidu Hospital (  Wellesley Rd ),0,12,"Behind Pune Main Railway station, off, Wellesley Rd, 411001",Pune,113,0,1619927326000,DCH,PMC,0,0,0,Government Free
7,120,0,411001,50,No Data Available,9130038713,No Data Available,Sardar Vallabhbhai Patel Hospital Pune,0,10,"Opposite Golibar Maidan Camp, Shankar Sheth Rd, Katad Khana, Pune, Maharashtra 411001",Pune,50,0,1619936854000,DCH,PMC,0,19,10,Government Free
8,684,0,,39,No Data Available,"02026102205, 02026102550,02026102620, 02026102616",No Data Available,Sasoon ( Station Rd ),0,102,"Station Rd, Agarkar Nagar, Pune, Maharashtra 411001",Pune,521,0,1619923554000,DCH,PMC,0,26,22,Government Free
9,30,0,,30,No Data Available,8856036290,No Data Available,Sonawane Maternity Hospital ( Kashewadi ),0,0,"270, Jawaharlal Nehru Rd, Kashewadi Kashewadi Pune, Maharashtra 411042",Pune,0,0,1619854677000,DCH,PMC,0,16,0,Government Free
10,50,0,,0,Dr Kapil,8446650688,No Data Available,Ganesh Kala Krida Covid Center (Swargate),0,0,"Keshav Rao Road, Beside Nehru Stadium, Swargate, Pune, Maharashtra 411042",Pune,50,0,1619857965000,DCHC,PMC,0,0,0,Government Free
11,150,0,,150,No Data Available,9921238288,No Data Available,Gangadham covid care center,0,0,Bibwewadi pune 37,Pune,0,0,1619930828000,CCC,PMC,0,49,0,Government Free
12,300,0,,300,No Data Available,7030508503,No Data Available,Late Ramchandra Bankar School CCC,0,0,"Gondhale Nagar, Near Karkare garden, Hadapsar, Pune-28",Pune,0,0,1617366576000,CCC,PMC,300,205,0,Government Free
13,250,0,411014,250,No Data Available,020-27014242,No Data Available,Rakshak Nagar Stadium,0,0,"Kharadi Gaon, Kharadi, Pune, Maharashtra 411014",Pune,0,0,1619932160000,CCC,PMC,0,130,0,Government Free
