id,area,available_icu_beds_with_ventilator,pincode,district,last_updated_date,total_beds_without_oxygen,available_beds_without_oxygen,total_icu_beds_without_ventilator,total_beds_with_oxygen,hospital_phone,last_updated_time,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,available_beds_with_oxygen,hospital_address,last_updated_on
0,Adilabad,8,504311,Adilabad,02/05/2021,42,41,-1,10,9100157771,12:04:43 PM,DH UTNOOR,-1,8,10,"Utnoor Rd, Utnur, Telangana 504311, India",1619937283000
1,Badradri,30,507111,Badradri,30/04/2021,25,0,-1,72,8008553204,05:18:27 PM,AH BHADRACHALAM,-1,30,61,"Bhadrachalam, Telangana 507111, India",1619783307000
2,Badradri,0,507117,Badradri,02/05/2021,90,87,-1,10,9666552288,10:11:06 AM,AH MANUGURU,-1,0,10,"FLOWERS MARKET, Manuguru Main Rd, Pilot Colony, Manuguru (PT), Telangana 507117, India",1619930466000
3,Badradri,0,,Badradri,30/04/2021,20,20,-1,0,9491145022,04:03:14 PM,AREA HOSPITAL SCCL- YELLANDU,-1,0,0,,1619778794000
4,Badradri,4,,Badradri,02/05/2021,150,122,-1,98,9505577088,10:45:33 AM,DH KOTHAGUDEM,-1,12,15,,1619932533000
5,Badradri,1,507101,Badradri,02/05/2021,108,14,-1,12,9491144722,11:49:12 AM,MAIN HOSPITAL SCCL- KOTHAGUDEM,-1,18,0,"13-1-201/1, Main Hospital Road, Peon Basthi, Kothagudem, Telangana 507101, India",1619936352000
6,Hyderabad,0,500008,Hyderabad,02/05/2021,15,15,-1,0,9440938674,10:58:03 AM,AH GOLKONDA,-1,0,0,"Maruthi Nagar, Langar Houz, Hyderabad, Telangana 500008, India",1619933283000
7,Hyderabad,0,500024,Hyderabad,02/05/2021,15,13,-1,0,9866244211,10:49:46 AM,AH MALAKPET,-1,0,0,"Malakpet, Hyderabad, Telangana 500024, India",1619932786000
8,Hyderabad,0,500001,Hyderabad,02/05/2021,8,8,-1,0,8008553888,01:41:43 PM,AH NAMPALLY,-1,0,0,"#5-5275/1, darusalam Road, Nampally., Sri Balaji Enclave, Ghosha Mahal, Nampally, Hyderabad, Telangana 500001, India",1619943103000
9,Hyderabad,0,500038,Hyderabad,02/05/2021,0,0,-1,149,9949912039,12:10:50 PM,CHEST HOSPITAL,-1,28,0,"Opp ESI Bus Stop, Kalyan Nagar Phase 1, Erragadda, Hyderabad, Telangana 500038, India",1619937650000
10,Hyderabad,0,500001,Hyderabad,02/05/2021,0,0,-1,300,9704175272,12:58:28 PM,DISTRICT HOSPITAL -  KINGKOTI,-1,50,20,"3-5-773, King Koti Rd, King Koti, Hyderguda, King Koti, Hyderabad, Telangana 500001, India",1619940508000
11,Hyderabad,0,500038,Hyderabad,02/05/2021,50,24,-1,90,7702985555,09:24:34 AM,ESIC HOSPITAL(GOI),-1,14,0,"10, Essae Digitronics Road, Model Colony, BK Guda, Sanath Nagar, BK Guda, Sanath Nagar, Hyderabad, Telangana 500038, India",1619927674000
12,Hyderabad,0,500025,Hyderabad,02/05/2021,650,650,-1,600,9966533327,08:26:58 AM,GANDHI HOSPITALS,-1,619,218,"Bhoiguda Road, M.I.G.H colony, Musheerabad, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500025, India",1619924218000
13,Hyderabad,0,500095,Hyderabad,30/04/2021,202,202,-1,0,--,04:05:01 PM,GOVT ENT HOSPITAL (OSM),-1,0,0,"Bank St, Opp SBI Main Branch, Troop Bazaar, Koti, Hyderabad, Telangana 500095, India",1619778901000
14,Hyderabad,0,500038,Hyderabad,02/05/2021,75,3,-1,0,--,12:27:43 PM,GOVT MENTAL CARE HOSPITAL (OSM),-1,0,0,"Erragadda Main Rd, Vikaspuri, Erragadda, Hyderabad, Telangana 500038, India",1619938663000
15,Hyderabad,0,500015,Hyderabad,02/05/2021,210,82,-1,156,7889529724,10:07:34 AM,MILITARY HOSPITAL - TIRUMALGERRY,-1,25,40,"Tirumalgiri road, Trimulgherry, Secunderabad, Telangana 500015, India",1619930254000
16,Hyderabad,2,500004,Hyderabad,02/05/2021,4,0,-1,12,94934 50570,11:14:21 AM,NILOUFER HOSPITAL,-1,8,4,"11-4-721, Niloufer Hospital Rd, Red Hills, Lakdikapul, Hyderabad, Telangana 500004, India",1619934261000
17,Hyderabad,0,500082,Hyderabad,02/05/2021,107,0,-1,49,9490296073,01:00:26 PM,NIMS HOSPITALS,-1,17,0,"Punjagutta Rd, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082, India",1619940626000
18,Hyderabad,100,500012,Hyderabad,02/05/2021,0,0,-1,61,9493450570,07:23:14 AM,OSMANIA GENERAL HOSPITAL,-1,200,19,"15-5-104, Begum Bazaar, Afzal Gunj, Hyderabad, Telangana 500012, India",1619920394000
19,Hyderabad,2,500017,Hyderabad,02/05/2021,0,0,-1,170,9701370514,08:54:08 AM,RAILWAY HOSPITAL - LALAGUDA,-1,32,0,"Rail Kalyan, Lallaguda Railway Colony, Lalaguda, Mettuguda, Secunderabad, Telangana 500017, India",1619925848000
